image,width,height,megapixels,gpu_transfer,gpu_invert,gpu_gaussian,gpu_equalize,gpu_total
00000011_006.png,1024,1024,1.049,0.0011833999888040125,0.00022619999945163726,0.0011742599948775024,0.0008490799984429032,0.0022495399927720426
00000011_007.png,1024,1024,1.049,0.0009614999871701002,0.00011851999443024397,0.001181119994726032,0.001520259998505935,0.002819899987662211
00000011_008.png,1024,1024,1.049,0.0009636000031605363,9.348000166937709e-05,0.0014157400000840425,0.0010358400002587586,0.002545060002012178
00000012_000.png,1024,1024,1.049,0.0006521999894175678,9.931999957188964e-05,0.0009867599990684539,0.0008749799977522344,0.001961059996392578
00000013_000.png,1024,1024,1.049,0.0016550000000279397,0.00016962000518105924,0.001482199999736622,0.0009206400020048023,0.002572460006922484
00000013_001.png,1024,1024,1.049,0.001212700008181855,0.00015626001404598356,0.001025839993963018,0.0013945599959697575,0.002576660003978759
00000013_002.png,1024,1024,1.049,0.0007366000209003687,8.582000737078488e-05,0.0012185199942905457,0.000998319999780506,0.0023026600014418364
00000013_003.png,1024,1024,1.049,0.0005345999961718917,9.410000056959688e-05,0.0009323199978098273,0.0010584999981801957,0.0020849199965596197
00000013_004.png,1024,1024,1.049,0.0009528000082354993,0.00019001999753527344,0.0010102800035383553,0.0008813599881250412,0.0020816599891986696
00000013_005.png,1024,1024,1.049,0.001060700014932081,0.00014353999868035316,0.0013636999996379019,0.0012232999957632273,0.002730539994081482
00000013_006.png,1024,1024,1.049,0.0006545000069309026,8.522000862285495e-05,0.001334960013628006,0.0010857399960514159,0.002505920018302277
00000013_007.png,1024,1024,1.049,0.0007416000007651746,0.00011546000023372471,0.0010231399966869504,0.0017033000010997057,0.002841899998020381
00000013_008.png,1024,1024,1.049,0.002928100002463907,0.00011544000008143485,0.0009847200009971858,0.0011917399999219925,0.002291900001000613
00000013_009.png,1024,1024,1.049,0.0014326000236906111,0.00010270000202581287,0.0010891399928368629,0.0008731799898669124,0.002065019984729588
00000013_010.png,1024,1024,1.049,0.000599899998633191,0.00010473999427631497,0.001119659998221323,0.0016610399936325849,0.0028854399861302227
00000013_011.png,1024,1024,1.049,0.0014616000116802752,0.0004840599955059588,0.0010580400004982949,0.0010385199973825365,0.0025806199933867905
00000013_012.png,1024,1024,1.049,0.0006745000137016177,0.00011825999245047569,0.0009708800062071532,0.0012391000054776669,0.002328240004135296
00000013_013.png,1024,1024,1.049,0.0022517000033985823,9.960000170394778e-05,0.0009484199923463166,0.0009130000020377338,0.001961019996087998
00000013_014.png,1024,1024,1.049,0.0014248000225052238,0.0002131399989593774,0.0015443400014191865,0.0009752000158187002,0.0027326800161972644
00000013_015.png,1024,1024,1.049,0.0007697000110056251,0.0003353399981278926,0.0010362999979406594,0.001410039997426793,0.002781679993495345
00000013_016.png,1024,1024,1.049,0.0005367999838199466,9.364000288769603e-05,0.0009146999916993081,0.0012476800009608268,0.002256019995547831
